person_id,age,age_group,gender,road_user
388,24,18-25,Female,Motorcycle pillion passenger
389,38,26-40,Male,Pedestrian
390,20,18-25,Female,Driver
391,79,65+,Male,Motorcycle rider
392,79,65+,Female,Driver
393,42,41-65,Male,Pedestrian
394,9,0-17,Male,Passenger
395,45,41-65,Male,Passenger
396,4,0-17,Male,Passenger
397,53,41-65,Male,Motorcycle rider
398,32,26-40,Female,Passenger
399,12,0-17,Male,Pedestrian
400,16,0-17,Female,Passenger
401,50,41-65,Female,Driver
402,76,65+,Male,Pedal cyclist
403,70,65+,Male,Pedal cyclist
404,28,26-40,Female,Passenger
405,82,65+,Female,Passenger
406,73,65+,Female,Driver
407,91,65+,Female,Passenger
408,31,26-40,Male,Pedal cyclist
409,43,41-65,Female,Passenger
410,59,41-65,Male,Pedestrian
411,30,26-40,Female,Pedestrian
412,72,65+,Male,Motorcycle rider
413,67,65+,Female,Motorcycle rider
414,74,65+,Male,Motorcycle rider
415,66,65+,Female,Driver
416,53,41-65,Male,Pedal cyclist
417,41,41-65,Female,Passenger
418,49,41-65,Female,Driver
419,15,0-17,Female,Motorcycle pillion passenger
420,78,65+,Female,Pedestrian
421,70,65+,Female,Driver
422,26,26-40,Male,Pedestrian
423,68,65+,Male,Passenger
424,86,65+,Male,Driver
425,75,65+,Female,Passenger
426,15,0-17,Male,Passenger
427,91,65+,Male,Driver
428,13,0-17,Male,
429,45,41-65,Female,Pedestrian
430,42,41-65,Male,Motorcycle rider
431,18,18-25,Female,Pedestrian
432,25,26-40,Female,Motorcycle rider
433,21,18-25,Male,Pedestrian
434,15,0-17,Male,Pedal cyclist
435,54,41-65,Female,Passenger
436,39,26-40,Female,Driver
437,72,65+,Male,Pedestrian
438,47,41-65,Female,Driver
439,62,41-65,Male,Pedal cyclist
440,65,65+,Male,Pedestrian
441,27,26-40,Male,
442,13,0-17,Female,
443,59,41-65,Female,Pedestrian
444,41,41-65,Female,Motorcycle rider
445,17,18-25,Male,Pedestrian
446,31,26-40,Male,Pedestrian
447,20,18-25,Male,Pedestrian
448,36,26-40,Female,Pedal cyclist
449,17,18-25,Male,Motorcycle pillion passenger
450,51,41-65,Male,Pedestrian
451,64,41-65,Male,Pedestrian
452,23,18-25,Female,Passenger
453,19,18-25,Female,Passenger
454,70,65+,Male,
455,82,65+,Male,Driver
456,47,41-65,Female,Passenger
457,70,65+,Female,Passenger
458,34,26-40,Female,Passenger
459,30,26-40,Female,Pedal cyclist
460,42,41-65,Male,Passenger
461,50,41-65,Male,Passenger
462,58,41-65,Male,Pedal cyclist
463,53,41-65,Female,Motorcycle rider
464,27,26-40,Female,Passenger
465,7,0-17,Female,Passenger
466,93,65+,Female,Pedestrian
467,55,41-65,Female,Pedestrian
468,3,0-17,Female,Pedestrian
469,51,41-65,Male,Pedal cyclist
470,79,65+,Female,Passenger
471,50,41-65,Female,Passenger
472,16,0-17,Male,Pedestrian
473,90,65+,Female,Passenger
474,11,0-17,Male,Passenger
475,23,18-25,Female,Motorcycle pillion passenger
476,35,26-40,Male,
477,69,65+,Female,Pedestrian
478,52,41-65,Male,Motorcycle rider
479,41,41-65,Male,
480,88,65+,Male,Driver
481,64,41-65,Male,Pedal cyclist
482,12,0-17,Female,Passenger
483,61,41-65,Female,Driver
484,48,41-65,Female,Passenger
485,28,26-40,Male,
486,29,26-40,Male,Passenger
487,25,26-40,Female,Driver
488,38,26-40,Female,Passenger
489,89,65+,Female,Passenger
490,44,41-65,Male,
491,92,65+,Female,Pedestrian
492,57,41-65,Male,Passenger
493,2,0-17,Male,Pedestrian
494,85,65+,Male,Motorcycle rider
495,41,41-65,Female,
496,62,41-65,Female,Passenger
497,25,26-40,Female,Passenger
498,7,0-17,Male,Pedestrian
499,85,65+,Female,Passenger
500,67,65+,Female,Driver
501,77,65+,Male,Pedestrian
502,56,41-65,Female,Motorcycle rider
503,85,65+,Male,Pedestrian
504,65,65+,Female,Passenger
505,65,65+,Female,Motorcycle rider
506,22,18-25,Male,Pedestrian
507,38,26-40,Male,Passenger
508,22,18-25,Female,Pedestrian
