location_id,state,lga_name,sa4_name,remoteness_area,population_2023_lga,population_2023_remoteness,dwelling_records
101,Qld,Brisbane,Brisbane Inner City,Major Cities of Australia,1323162.0,19343743.0,519431.0
102,NSW,Cowra,Central West,Inner Regional Australia,12659.0,4683975.0,6267.0
103,NSW,Goulburn Mulwaree,Capital Region,Inner Regional Australia,32710.0,4683975.0,14739.0
104,Qld,Gympie,Wide Bay,Inner Regional Australia,56166.0,4683975.0,24767.0
105,Qld,Moreton Bay,Moreton Bay - South,Major Cities of Australia,510104.0,19343743.0,188327.0
106,NSW,Willoughby,Sydney - North Sydney and Hornsby,Major Cities of Australia,77874.0,19343743.0,31175.0
107,NSW,Shoalhaven,Capital Region,Inner Regional Australia,109895.0,4683975.0,58799.0
108,NSW,Queanbeyan-Palerang Regional,Capital Region,Inner Regional Australia,,4683975.0,26549.0
109,Vic,Nillumbik,Melbourne - North East,Inner Regional Australia,63264.0,4683975.0,22406.0
110,NSW,Wollongong,Illawarra,Inner Regional Australia,219141.0,4683975.0,89476.0
111,Qld,South Burnett,Wide Bay,Inner Regional Australia,34290.0,4683975.0,16096.0
112,SA,Tatiara,South Australia - South East,Remote Australia,7066.0,304013.0,3194.0
113,NSW,Tweed,Richmond - Tweed,Inner Regional Australia,98967.0,4683975.0,44661.0
114,NSW,Mid-Coast,Mid North Coast,Outer Regional Australia,97909.0,2119123.0,50474.0
115,Vic,Ararat,North West,Inner Regional Australia,11683.0,4683975.0,5509.0
116,Vic,Colac Otway,Warrnambool and South West,Inner Regional Australia,22273.0,4683975.0,12460.0
117,Qld,McKinlay,Queensland - Outback,Very Remote Australia,849.0,198024.0,497.0
118,NSW,Singleton,Hunter Valley exc Newcastle,Inner Regional Australia,25332.0,4683975.0,9838.0
119,Qld,Gladstone,Central Queensland,Outer Regional Australia,66835.0,2119123.0,29868.0
120,NSW,Lithgow,Central West,Inner Regional Australia,20724.0,4683975.0,10236.0
121,NSW,Campbelltown,Sydney - Outer South West,Major Cities of Australia,,19343743.0,
122,Qld,Sunshine Coast,Sunshine Coast,Major Cities of Australia,365942.0,19343743.0,149005.0
123,NSW,Warrumbungle,Far West and Orana,Outer Regional Australia,9228.0,2119123.0,
124,Qld,Noosa,Sunshine Coast,Major Cities of Australia,58367.0,19343743.0,28715.0
125,NSW,Port Stephens,Newcastle and Lake Macquarie,Major Cities of Australia,77748.0,19343743.0,35699.0
126,Qld,Moreton Bay,Moreton Bay - North,Major Cities of Australia,510104.0,19343743.0,188327.0
127,SA,Gawler,Adelaide - North,Major Cities of Australia,26789.0,19343743.0,11126.0
128,Vic,Alpine,Hume,Inner Regional Australia,13182.0,4683975.0,7271.0
129,NSW,Cabonne,Central West,Inner Regional Australia,13880.0,4683975.0,5895.0
130,Qld,Brisbane,Ipswich,Major Cities of Australia,1323162.0,19343743.0,519431.0
131,Vic,Baw Baw,Latrobe - Gippsland,Inner Regional Australia,60644.0,4683975.0,24522.0
132,Qld,Isaac,Mackay - Isaac - Whitsunday,Remote Australia,23024.0,304013.0,11014.0
133,Qld,Maranoa,Darling Downs - Maranoa,Remote Australia,13255.0,304013.0,6510.0
134,Vic,Southern Grampians,Warrnambool and South West,Outer Regional Australia,16470.0,2119123.0,8292.0
135,NSW,Cessnock,Hunter Valley exc Newcastle,Inner Regional Australia,67591.0,4683975.0,25812.0
136,Qld,Scenic Rim,Logan - Beaudesert,Inner Regional Australia,45248.0,4683975.0,18468.0
137,Qld,Somerset,Ipswich,Inner Regional Australia,26251.0,4683975.0,11020.0
138,Qld,Hinchinbrook,Townsville,Remote Australia,11118.0,304013.0,6030.0
139,Qld,Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,126907.0,4683975.0,52308.0
140,SA,Playford,Adelaide - North,Major Cities of Australia,107069.0,19343743.0,39505.0
141,NSW,Cobar,Far West and Orana,Very Remote Australia,4078.0,198024.0,2320.0
142,Vic,Ararat,North West,Outer Regional Australia,11683.0,2119123.0,5509.0
143,SA,Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,41842.0,4683975.0,16270.0
144,NSW,Bega Valley,Capital Region,Outer Regional Australia,36279.0,2119123.0,18867.0
145,SA,Tea Tree Gully,Adelaide - North,Major Cities of Australia,103685.0,19343743.0,41034.0
146,NSW,Kiama,Illawarra,Inner Regional Australia,23002.0,4683975.0,10785.0
147,Vic,Moyne,Warrnambool and South West,Outer Regional Australia,17610.0,2119123.0,8550.0
148,NSW,Wollondilly,Sydney - Outer South West,Inner Regional Australia,57616.0,4683975.0,18918.0
149,Qld,Scenic Rim,Ipswich,Inner Regional Australia,45248.0,4683975.0,18468.0
150,Vic,Casey,Melbourne - South East,Major Cities of Australia,392110.0,19343743.0,122674.0
151,SA,Northern Areas,Barossa - Yorke - Mid North,Outer Regional Australia,4667.0,2119123.0,2424.0
152,Qld,Tablelands,Cairns,Outer Regional Australia,27259.0,2119123.0,13184.0
153,NSW,Sydney,Sydney - City and Inner South,Major Cities of Australia,231086.0,19343743.0,124114.0
154,Vic,Murrindindi,Hume,Inner Regional Australia,15482.0,4683975.0,8349.0
155,NSW,Albury,Murray,Inner Regional Australia,57517.0,4683975.0,25430.0
156,Vic,Boroondara,Melbourne - Inner East,Major Cities of Australia,174537.0,19343743.0,72924.0
157,Qld,Redland,Brisbane - East,Major Cities of Australia,166809.0,19343743.0,65216.0
158,SA,Playford,Adelaide - North,Inner Regional Australia,107069.0,4683975.0,39505.0
159,Vic,South Gippsland,Latrobe - Gippsland,Inner Regional Australia,30823.0,4683975.0,17145.0
160,Qld,Hinchinbrook,Townsville,Outer Regional Australia,11118.0,2119123.0,6030.0
161,Vic,Yarra Ranges,Melbourne - Outer East,Inner Regional Australia,158694.0,4683975.0,61574.0
162,Vic,Surf Coast,Geelong,Inner Regional Australia,39292.0,4683975.0,20678.0
163,SA,Mount Barker,Adelaide - Central and Hills,Inner Regional Australia,42297.0,4683975.0,16054.0
164,Qld,Brisbane,Brisbane - East,Major Cities of Australia,1323162.0,19343743.0,519431.0
165,NSW,Cessnock,Hunter Valley exc Newcastle,Major Cities of Australia,67591.0,19343743.0,25812.0
166,NSW,Maitland,Hunter Valley exc Newcastle,Inner Regional Australia,95957.0,4683975.0,35456.0
167,Tas,Hobart,Hobart,Inner Regional Australia,55964.0,4683975.0,24864.0
168,SA,Mitcham,Adelaide - South,Major Cities of Australia,69542.0,19343743.0,27169.0
169,NSW,Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,55323.0,4683975.0,26143.0
170,SA,Adelaide,Adelaide - Central and Hills,Major Cities of Australia,27901.0,19343743.0,14766.0
171,Tas,Clarence,Unknown,Inner Regional Australia,63663.0,4683975.0,25894.0
172,NSW,Lismore,Richmond - Tweed,Inner Regional Australia,43907.0,4683975.0,19781.0
