fact_crash_id,crash_id,date_id,holiday_id,location_id,road_id,vehicle_id,crash_type_id,number_fatalities,crash_count
19983004,19983004,835,2,778,16,11,1,1,1
19983237,19983237,835,2,778,16,11,1,1,1
19982202,19982202,835,1,66,30,2,2,1,1
19981466,19981466,835,1,797,30,11,1,2,1
19982031,19982031,835,1,66,30,1,1,1,1
19981458,19981458,835,1,797,30,11,1,1,1
19981323,19981323,835,2,797,14,11,1,1,1
19983041,19983041,835,2,778,30,11,1,1,1
19985041,19985041,835,2,7,14,12,2,1,1
19981210,19981210,835,2,797,16,11,1,1,1
19982003,19982003,835,2,66,30,1,2,2,1
19984129,19984129,835,1,803,14,11,1,1,1
19984001,19984001,835,2,803,14,11,2,1,1
19982078,19982078,835,2,66,17,1,2,1,1
19986011,19986011,835,1,668,30,11,1,1,1
19985064,19985064,835,2,7,16,11,1,1,1
19983240,19983240,836,2,778,17,11,1,1,1
19985007,19985007,836,1,7,21,11,1,1,1
19981467,19981467,836,2,797,30,11,1,1,1
19981350,19981350,836,2,797,21,11,1,1,1
19982249,19982249,836,1,66,17,1,1,1,1
19983126,19983126,836,2,778,16,11,1,1,1
19982052,19982052,836,1,66,30,1,1,1,1
19983059,19983059,836,2,778,30,11,2,1,1
19982009,19982009,836,1,66,30,1,1,1,1
19982033,19982033,836,1,66,30,1,2,1,1
19985058,19985058,836,1,7,17,11,2,2,1
19981266,19981266,836,2,797,14,11,2,1,1
19983020,19983020,836,2,778,30,12,2,1,1
19983174,19983174,836,2,778,73,11,1,1,1
19981334,19981334,836,1,797,14,11,1,2,1
19983077,19983077,836,2,778,16,11,1,1,1
19985069,19985069,836,2,7,14,11,2,2,1
19985154,19985154,836,2,7,16,11,1,1,1
19986030,19986030,836,2,668,21,11,2,1,1
19981042,19981042,836,2,797,16,11,1,1,1
19981029,19981029,837,2,797,30,12,2,2,1
19985132,19985132,837,2,7,21,11,1,1,1
19981167,19981167,837,2,797,16,11,1,1,1
19981322,19981322,837,1,797,6,11,1,1,1
19981189,19981189,837,1,797,30,11,2,1,1
19983184,19983184,837,2,778,17,11,1,1,1
19981021,19981021,837,2,797,16,11,2,1,1
19983063,19983063,837,2,778,14,11,2,1,1
19981326,19981326,837,2,797,16,11,1,1,1
19981023,19981023,837,1,797,14,11,2,1,1
19985113,19985113,837,2,7,14,11,2,1,1
19981288,19981288,837,1,797,30,11,1,1,1
19982122,19982122,837,2,66,30,1,2,1,1
19985152,19985152,837,2,7,14,11,1,1,1
19984035,19984035,837,1,803,16,11,1,1,1
19986036,19986036,837,1,668,30,11,1,1,1
19985081,19985081,837,2,7,16,11,2,1,1
19981489,19981489,837,1,797,16,11,1,1,1
19985100,19985100,837,2,7,16,11,2,1,1
19985129,19985129,837,2,7,16,11,1,1,1
19984141,19984141,838,2,803,16,11,1,1,1
19985097,19985097,838,1,7,14,11,1,1,1
19981026,19981026,838,1,797,30,11,1,1,1
19982159,19982159,838,2,66,16,1,2,2,1
19981120,19981120,838,2,797,30,11,1,1,1
19981153,19981153,838,2,797,16,11,1,1,1
19983045,19983045,838,1,778,30,11,2,2,1
19981330,19981330,838,1,797,30,11,2,1,1
19981449,19981449,838,2,797,30,11,2,1,1
19981344,19981344,838,2,797,16,12,2,1,1
19983254,19983254,838,1,778,17,11,1,1,1
19986010,19986010,838,2,668,14,11,2,1,1
19982023,19982023,838,1,66,30,1,2,1,1
19983061,19983061,838,2,778,30,11,1,1,1
19981025,19981025,838,1,797,16,11,2,1,1
19982158,19982158,838,2,66,17,1,2,1,1
19981335,19981335,838,2,797,16,11,1,1,1
19981293,19981293,838,1,797,30,11,1,1,1
19983064,19983064,838,2,778,17,12,2,1,1
19982134,19982134,838,1,66,16,1,1,1,1
19982137,19982137,838,1,66,21,1,1,1,1
19981295,19981295,838,2,797,16,11,2,1,1
19981175,19981175,838,1,797,16,11,1,1,1
19981019,19981019,838,1,797,30,11,1,1,1
19981109,19981109,839,2,797,17,11,1,1,1
19982060,19982060,839,2,66,30,1,1,1,1
19981277,19981277,839,2,797,30,11,1,1,1
19981341,19981341,839,2,797,30,12,2,1,1
19983176,19983176,839,2,778,30,11,1,1,1
19981136,19981136,839,2,797,30,11,2,1,1
19986009,19986009,839,2,668,16,11,2,1,1
19985012,19985012,839,2,7,14,11,1,1,1
19985160,19985160,839,2,7,17,12,2,1,1
19982027,19982027,839,2,66,16,1,2,1,1
19982286,19982286,839,2,66,30,1,2,1,1
19986044,19986044,839,2,668,30,11,1,1,1
19983023,19983023,839,2,778,30,12,1,2,1
19985048,19985048,839,2,7,16,11,2,1,1
19982281,19982281,839,2,66,14,2,2,1,1
19983234,19983234,839,2,778,17,11,1,1,1
19981188,19981188,839,1,797,16,11,1,1,1
19981345,19981345,839,2,797,30,11,1,1,1
19983060,19983060,840,2,778,30,11,1,1,1
19983001,19983001,840,2,778,21,11,1,1,1
19981102,19981102,840,2,797,16,13,1,1,1
19982065,19982065,840,2,66,30,2,2,1,1
19983123,19983123,840,2,778,30,11,1,1,1
19984110,19984110,840,2,803,17,11,2,1,1
19983239,19983239,840,2,778,30,12,1,1,1
19985145,19985145,840,1,7,14,11,1,1,1
19982088,19982088,840,1,66,30,1,1,1,1
