person_id,age,age_group,gender,road_user
388,28,26-40,Female,Passenger
389,82,65+,Female,Passenger
390,73,65+,Female,Driver
391,91,65+,Female,Passenger
392,31,26-40,Male,Pedal cyclist
393,43,41-65,Female,Passenger
394,59,41-65,Male,Pedestrian
395,30,26-40,Female,Pedestrian
396,72,65+,Male,Motorcycle rider
397,67,65+,Female,Motorcycle rider
398,74,65+,Male,Motorcycle rider
399,66,65+,Female,Driver
400,53,41-65,Male,Pedal cyclist
401,41,41-65,Female,Passenger
402,49,41-65,Female,Driver
403,15,0-17,Female,Motorcycle pillion passenger
404,78,65+,Female,Pedestrian
405,70,65+,Female,Driver
406,26,26-40,Male,Pedestrian
407,68,65+,Male,Passenger
408,86,65+,Male,Driver
409,75,65+,Female,Passenger
410,15,0-17,Male,Passenger
411,91,65+,Male,Driver
412,13,0-17,Male,
413,45,41-65,Female,Pedestrian
414,42,41-65,Male,Motorcycle rider
415,18,18-25,Female,Pedestrian
416,25,26-40,Female,Motorcycle rider
417,21,18-25,Male,Pedestrian
418,66,65+,Male,Pedal cyclist
419,15,0-17,Male,Pedal cyclist
420,54,41-65,Female,Passenger
421,39,26-40,Female,Driver
422,72,65+,Male,Pedestrian
423,47,41-65,Female,Driver
424,62,41-65,Male,Pedal cyclist
425,42,41-65,Male,Pedestrian
426,65,65+,Male,Pedestrian
427,13,0-17,Female,
428,41,41-65,Female,Motorcycle rider
429,17,18-25,Male,Pedestrian
430,31,26-40,Male,Pedestrian
431,20,18-25,Male,Pedestrian
432,36,26-40,Female,Pedal cyclist
433,17,18-25,Male,Motorcycle pillion passenger
434,51,41-65,Male,Pedestrian
435,64,41-65,Male,Pedestrian
436,23,18-25,Female,Passenger
437,19,18-25,Female,Passenger
438,70,65+,Male,
439,82,65+,Male,Driver
440,47,41-65,Female,Passenger
441,70,65+,Female,Passenger
442,34,26-40,Female,Passenger
443,30,26-40,Female,Pedal cyclist
444,42,41-65,Male,Passenger
445,50,41-65,Male,Passenger
446,58,41-65,Male,Pedal cyclist
447,53,41-65,Female,Motorcycle rider
448,27,26-40,Female,Passenger
449,31,26-40,Male,
450,7,0-17,Female,Passenger
451,93,65+,Female,Pedestrian
452,55,41-65,Female,Pedestrian
453,3,0-17,Female,Pedestrian
454,51,41-65,Male,Pedal cyclist
455,79,65+,Female,Passenger
456,50,41-65,Female,Passenger
457,16,0-17,Male,Pedestrian
458,27,26-40,Male,
459,90,65+,Female,Passenger
460,11,0-17,Male,Passenger
461,23,18-25,Female,Motorcycle pillion passenger
462,35,26-40,Male,
463,69,65+,Female,Pedestrian
464,52,41-65,Male,Motorcycle rider
465,41,41-65,Male,
466,88,65+,Male,Driver
467,64,41-65,Male,Pedal cyclist
468,12,0-17,Female,Passenger
469,49,41-65,Female,Pedestrian
470,61,41-65,Female,Driver
471,48,41-65,Female,Passenger
472,28,26-40,Male,
473,29,26-40,Male,Passenger
474,25,26-40,Female,Driver
475,38,26-40,Female,Passenger
476,89,65+,Female,Passenger
477,44,41-65,Male,
478,92,65+,Female,Pedestrian
479,57,41-65,Male,Passenger
480,2,0-17,Male,Pedestrian
481,85,65+,Male,Motorcycle rider
482,62,41-65,Female,Passenger
483,25,26-40,Female,Passenger
484,7,0-17,Male,Pedestrian
485,85,65+,Female,Passenger
486,67,65+,Female,Driver
487,77,65+,Male,Pedestrian
488,56,41-65,Female,Motorcycle rider
489,85,65+,Male,Pedestrian
490,65,65+,Female,Passenger
491,65,65+,Female,Motorcycle rider
492,22,18-25,Male,Pedestrian
493,38,26-40,Male,Passenger
494,22,18-25,Female,Pedestrian
495,62,41-65,Male,Motorcycle rider
496,82,65+,Male,Motorcycle rider
497,37,26-40,Male,Pedal cyclist
498,44,41-65,Female,Pedestrian
499,9,0-17,Female,Pedestrian
500,47,41-65,Male,Pedestrian
501,75,65+,Male,Motorcycle rider
502,58,41-65,Female,Driver
503,77,65+,Female,Passenger
504,46,41-65,Female,Driver
505,31,26-40,Female,Motorcycle pillion passenger
506,5,0-17,Female,Passenger
507,88,65+,Female,Passenger
508,82,65+,Male,Pedestrian
509,82,65+,Male,Pedal cyclist
510,39,26-40,Male,Passenger
511,78,65+,Male,Pedal cyclist
512,84,65+,Male,Pedestrian
513,90,65+,Male,Passenger
514,67,65+,Male,Motorcycle rider
515,58,41-65,Male,Pedestrian
516,72,65+,Male,Pedal cyclist
517,61,41-65,Male,
518,100,65+,Female,Passenger
519,75,65+,Male,Passenger
520,84,65+,Female,Passenger
521,86,65+,Male,Passenger
522,84,65+,Female,Pedestrian
